Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement
Turkey,UK,War,1968,652,40856,24768,43287,296.09,26.2,1997.9,Plains,708.1,504.2,20008.7,14207.2,None,NATO,Cyber,3256,15,No,10.48,Yes,Stalemate,-17.803,-92.29,Polar,Land,No
USA,India,Civil War,1957,149,18059,11823,127017,175.44,30,2345.5,Desert,27.1,247.4,23103.8,193.4,NATO,NATO,Nuclear,3527,113,No,13,Yes,Victory_A,55.363,82.066,Polar,None,No
UK,Canada,Skirmish,1987,1419,28622,46756,166854,107.53,33.6,548.4,Plains,159.9,1030.8,6809.5,12986.5,NATO,None,Cyber,1852,58,Yes,7.13,No,Victory_A,-41.938,98.179,Tropical,Oil,No
Germany,Turkey,Proxy War,1987,44,10053,31140,8154,58.32,22.4,914.4,Plains,814.7,279.2,14350.7,7763.9,NATO,None,Nuclear,4483,155,Yes,13.58,Yes,Stalemate,-21.345,94.509,Tropical,None,No
Germany,India,War,2002,1907,26667,40045,83280,439.9,14.7,1345,Forest,1111.3,365.4,13876.6,1447,NATO,Regional,Conventional,2679,2,No,13.42,Yes,Victory_B,-87.571,-23.216,Polar,Water,No
Russia,Iran,Skirmish,1980,1722,22660,46069,90316,220.21,2.1,1094.5,Plains,1068.6,401.8,14242.3,11188.3,None,Regional,Conventional,863,184,No,15.4,No,Stalemate,9.958,-123.192,Arid,Land,Yes
France,India,Skirmish,1993,1644,2713,32146,35030,312.64,35,2948.7,Plains,1036.3,227.3,17942,7793.6,NATO,None,Nuclear,1249,192,No,3.11,No,Stalemate,63.263,30.515,Temperate,Water,No
Japan,Germany,War,2009,1068,36760,5541,75040,245.26,16.5,2504.8,Forest,1080,1189.5,9855.6,5117.7,None,None,Conventional,1218,116,Yes,12.47,Yes,Victory_B,-84.98,104.054,Tropical,Water,Yes
Australia,Turkey,Skirmish,1966,1102,45204,11819,170682,436.3,20.7,1439.1,Desert,63.2,855.3,16933.5,8734.6,NATO,None,Nuclear,4904,194,Yes,17.59,No,Victory_A,20.482,148.39,Tropical,Land,No
Ukraine,Brazil,War,2022,1250,39601,5497,9604,273.51,20.7,2637.8,Urban,1253.2,1168.8,19713,4498.4,Regional,None,Mixed,1049,157,No,1.88,No,Stalemate,62.181,-17.048,Tropical,Water,No
Canada,Brazil,War,1988,162,37299,34489,91099,240.44,28,1043,Forest,1245.1,691.7,7233.9,7502.3,Regional,NATO,Cyber,2902,18,No,19.21,Yes,Victory_A,-1.092,-91.557,Temperate,None,Yes
Brazil,UK,Cold Conflict,1991,1817,24596,18045,177109,462.31,-9.6,2357.5,Desert,745.2,727.9,23644.1,2892.2,Regional,NATO,Conventional,4632,96,No,4.16,Yes,Victory_B,-33.656,-137.224,Tropical,Oil,Yes
Germany,Turkey,Civil War,1997,253,17865,22333,162107,359.87,-0.1,671,Urban,348.8,863,12956,2117,Regional,Regional,Conventional,4806,135,Yes,18.73,Yes,Victory_B,89.385,107.136,Arid,Land,No
Ukraine,Germany,Skirmish,1961,132,25821,17900,48217,55.86,19.9,2317,Plains,829.5,519.9,18321.7,22751.4,NATO,None,Mixed,1494,189,No,17.36,Yes,Victory_B,-78.33,12.707,Tropical,None,Yes
Brazil,India,Skirmish,1967,1472,3615,4290,171550,88.93,30.3,1369.4,Forest,781.5,695.7,18225.8,22570.1,Regional,Regional,Cyber,2336,18,No,15.4,Yes,Victory_B,-52.124,62.706,Tropical,Oil,Yes
Ukraine,Ukraine,Cold Conflict,1955,1908,4554,37922,67288,393.58,20.8,322.5,Plains,312.9,766.1,14135.4,20701.8,Regional,None,Cyber,367,35,Yes,4.19,Yes,Victory_B,69.344,-122.673,Arid,Water,No
UK,Iran,Cold Conflict,1992,1911,40637,1230,193845,417.94,8.6,819.8,Forest,844.8,1335,8073.9,5765.8,None,None,Nuclear,411,111,No,4.33,Yes,Victory_A,-36.485,-177.632,Temperate,Land,Yes
Brazil,Australia,Cold Conflict,1984,474,22973,14171,17088,272.64,6.3,1206.8,Urban,1116.4,1236.2,16676.8,18150,Regional,None,Conventional,3093,196,Yes,5.19,Yes,Victory_B,57.572,168.329,Temperate,Water,No
Canada,Israel,Proxy War,2003,1680,8484,20081,153341,277.27,23.2,2247.9,Desert,1128.7,181.8,2191.2,14746.9,NATO,NATO,Cyber,353,59,No,16.21,Yes,Victory_A,-30.024,111.92,Tropical,Oil,No
Ukraine,Japan,Proxy War,2011,1802,13827,44804,135393,316,23.4,218.9,Forest,84.5,58.8,24536.1,1290.3,None,Regional,Conventional,1565,33,Yes,3.75,No,Victory_B,56.157,-35.99,Temperate,Land,No
India,Brazil,Proxy War,2018,1133,3634,2218,27447,219.61,17.3,1978.6,Desert,276.8,952.8,4608.1,22490.6,NATO,None,Conventional,1338,182,Yes,11.62,No,Victory_A,33.431,-15.427,Arid,None,No
Canada,Canada,War,1965,706,33623,763,74541,340.13,3.1,2148,Plains,935.8,69.8,6892.9,24949.6,None,Regional,Conventional,4877,154,Yes,15.55,No,Victory_B,-5.666,154.464,Temperate,Water,No
Brazil,Ukraine,Skirmish,1957,1059,31989,15835,29652,54.33,31.6,1961.8,Plains,1203.9,85.4,23861.4,17720.9,NATO,Regional,Conventional,328,166,No,9.21,No,Victory_B,4.13,-105.246,Tropical,None,No
Canada,Canada,Civil War,1980,1491,25565,19258,54521,480.64,14.8,2282,Urban,730.2,223.8,4671.7,5795.4,Regional,NATO,Nuclear,1493,41,No,16.81,No,Victory_A,-58.021,109.018,Arid,None,No
Ukraine,USA,War,1959,1926,30693,31187,193272,375.1,25.6,534.5,Urban,990.8,493,4260.6,13864.7,None,NATO,Cyber,2829,41,Yes,11.24,Yes,Stalemate,-69.141,-173.545,Tropical,None,Yes
China,Turkey,Skirmish,2005,275,21430,22678,175349,315.62,-0.4,1761.3,Mountain,30.5,609.6,20115.4,2743.4,Regional,None,Conventional,1486,87,No,11.9,Yes,Victory_B,39.05,135.257,Arid,Land,No
Ukraine,China,Skirmish,2019,187,8402,19974,97131,158.23,5.5,2823.4,Mountain,852.2,727.6,6289.7,7476.5,NATO,Regional,Cyber,3735,175,Yes,13.54,Yes,Victory_A,62.743,32.142,Arid,Water,Yes
Ukraine,Japan,Cold Conflict,1969,949,13007,42631,23166,80.56,29.4,1832.4,Urban,1346.7,1389.2,2377.2,17934.2,NATO,NATO,Mixed,737,158,Yes,16.92,Yes,Victory_A,39.955,-8.072,Tropical,None,Yes
UK,Brazil,Cold Conflict,1954,243,24530,18007,6724,204.73,-7.7,1834,Plains,925.8,539.9,5673.8,7533.8,None,Regional,Mixed,3888,21,Yes,0.09,No,Stalemate,74.316,74.325,Tropical,Oil,No
Japan,Iran,War,1972,264,41852,40921,148591,330.82,13.1,2209.3,Desert,1291.3,340.6,22210.5,3688.7,NATO,Regional,Cyber,4843,86,No,7.85,Yes,Victory_B,70.214,-155.646,Temperate,Land,Yes
India,Russia,Cold Conflict,1958,1998,47253,22887,5496,316.89,11.7,999.6,Urban,792.8,805.8,7015.2,196.7,NATO,None,Nuclear,1794,40,Yes,19.26,Yes,Stalemate,50.074,-109.604,Polar,None,Yes
Australia,Brazil,Skirmish,2007,522,7281,21805,124859,191.38,23.8,2101.4,Desert,1180.9,302,17379.6,14317.1,None,Regional,Nuclear,1302,23,No,1.97,No,Victory_A,71.663,-33.485,Temperate,None,Yes
Germany,Ukraine,Cold Conflict,2008,963,46313,3945,20810,306.68,2.7,2748.7,Mountain,174.7,1316.8,9884.5,24217.1,Regional,NATO,Mixed,2668,167,No,4.67,Yes,Victory_B,-59.9,42.432,Tropical,Water,Yes
Turkey,USA,Proxy War,2003,1702,12975,46364,2013,406.89,-0.1,32.7,Desert,173.8,363.7,6560.3,12108.5,None,None,Conventional,4238,159,Yes,11.42,No,Stalemate,41.645,-127.963,Tropical,None,Yes
USA,Canada,Cold Conflict,1995,1565,27319,39169,108331,13.24,31.7,2610.3,Urban,169.1,1385.9,3609.7,5323.2,NATO,None,Mixed,3882,50,No,17.16,Yes,Victory_B,45.662,-43.383,Temperate,None,No
Japan,India,Skirmish,1971,783,36282,44753,158384,225.37,15.7,655.9,Plains,684.9,586.7,24305.1,11587.4,NATO,None,Conventional,4166,32,No,1.94,No,Victory_A,-62.284,-86.079,Polar,None,No
USA,Russia,War,2013,1111,15105,16582,5227,379.3,-5.3,1367.8,Urban,463,1137.9,13032.7,15056.1,None,NATO,Mixed,637,27,No,0.08,No,Stalemate,73.725,52.405,Polar,Water,Yes
UK,Germany,Civil War,1957,535,42369,35156,11210,273.12,-1.3,2557,Forest,1007.1,907.9,2877.7,20036.2,None,None,Mixed,4562,89,Yes,13.74,Yes,Victory_A,-88.419,150.94,Tropical,None,No
India,France,Cold Conflict,1969,210,14345,26190,102926,325.77,34.9,2471.7,Forest,1263.8,1307,4978.4,11322.4,Regional,Regional,Nuclear,2641,81,No,11.95,Yes,Victory_A,-11.771,-120.248,Polar,Oil,No
Israel,India,Skirmish,2000,46,6557,20781,7593,258.39,-1.2,2675.8,Forest,867.5,876,10188.4,4332.1,NATO,None,Cyber,40,121,Yes,5.42,Yes,Stalemate,-86.134,-111.866,Arid,Land,Yes
Ukraine,France,Civil War,1988,1491,6849,32352,107261,495.94,17.5,2821.3,Plains,299.3,814.1,13608.8,4708.4,NATO,NATO,Cyber,3985,78,Yes,19.15,Yes,Stalemate,4.204,36.19,Temperate,None,Yes
Israel,Japan,Civil War,1986,1564,33164,7896,39328,27.41,8.9,1341.5,Urban,1303.3,914.3,4553.1,22494.2,Regional,NATO,Mixed,2946,101,No,11.18,Yes,Stalemate,-15.812,-16.717,Polar,Water,Yes
Israel,Australia,Proxy War,1999,26,9921,7363,160729,245.57,29.9,1969.1,Forest,739.5,1101.3,6950.4,5913.7,None,None,Nuclear,770,190,Yes,13.27,No,Victory_A,22.151,78.518,Polar,Oil,No
Iran,China,Civil War,1983,1290,49820,12877,148343,45.8,24,1171.4,Urban,1008.2,1258.5,19594.8,18203.2,None,Regional,Conventional,4374,21,No,7.58,No,Victory_B,47.96,-76.361,Temperate,Land,Yes
Russia,Australia,Skirmish,2024,175,32861,41638,134445,79.98,16.9,1052.2,Mountain,1246.8,374.3,10442.9,6731,Regional,NATO,Mixed,3016,17,Yes,18.43,No,Victory_B,48.344,16.135,Arid,Water,Yes
Israel,Russia,Skirmish,1982,1540,38151,20443,52155,191.58,-9.5,1294.8,Forest,1385.8,282,45,18016.8,None,NATO,Conventional,3710,1,No,5.52,No,Victory_B,40,-40.742,Polar,Water,No
Germany,UK,Cold Conflict,1980,1335,13219,40253,76201,77.85,29.6,2229.2,Forest,709,49.1,1358,1968.3,Regional,NATO,Conventional,57,93,No,14.98,Yes,Victory_B,-71.662,-78.745,Arid,Land,Yes
China,Russia,Cold Conflict,2003,322,7764,14962,67018,481.85,10,1504.3,Plains,1131.5,518.7,10988.8,5192.8,None,None,Nuclear,4263,88,Yes,2.33,No,Victory_B,-14.861,82.547,Tropical,Land,No
Russia,Australia,Cold Conflict,1993,1603,29381,41332,154360,473.4,31.9,2442.2,Urban,794,1184.8,1512.3,10223.4,None,NATO,Nuclear,1653,153,Yes,10.76,Yes,Victory_B,56.871,106.522,Tropical,Water,No
UK,Brazil,Civil War,1983,1159,40379,37749,63880,168.12,12.3,2235.7,Plains,681.5,98.7,4355.9,12887.8,None,NATO,Cyber,3237,38,Yes,11.56,No,Stalemate,27.774,-61.577,Arid,Oil,No
Turkey,Ukraine,Civil War,2020,55,31921,48886,74017,319.91,21.2,61.4,Plains,753.3,754.4,18199.6,8830.2,Regional,NATO,Nuclear,81,16,Yes,3.77,Yes,Victory_B,32.585,44.27,Arid,Oil,Yes
Japan,Canada,Proxy War,2011,1567,38333,15791,139452,266.92,-6.9,1890.7,Urban,678.5,973,12014.8,14342.2,Regional,None,Mixed,4229,15,Yes,6.48,Yes,Victory_A,-49.153,-115.707,Temperate,Oil,Yes
China,Brazil,Cold Conflict,1972,1610,24747,25128,175275,407.81,23.5,1309.7,Mountain,590,1171.8,12066.7,8141,Regional,NATO,Mixed,1508,154,No,3.57,Yes,Victory_A,-31.489,104.748,Temperate,Land,Yes
Canada,Brazil,War,1995,1555,45425,42235,8661,313.76,5.2,1369.9,Urban,1013.5,817.2,14959.5,16964.2,NATO,NATO,Conventional,261,176,No,16.9,Yes,Victory_B,82.046,-78.75,Temperate,None,Yes
Brazil,Ukraine,Proxy War,2005,1180,4482,31166,13922,0.23,5.8,2455.1,Mountain,350.3,261.7,19715.1,12785.1,NATO,None,Cyber,3706,130,Yes,13.14,No,Victory_A,62.447,-118.456,Polar,Water,No
Iran,Ukraine,War,1956,1873,16549,33281,49505,381.61,-4.7,1642.8,Plains,863.3,1350.4,3973.1,17630.7,Regional,None,Conventional,4114,41,Yes,8.93,No,Victory_A,-60.314,158.386,Tropical,Oil,No
China,Japan,Civil War,2010,668,17363,18034,34980,373.45,-3.4,2656.9,Mountain,998.4,133.4,4334.5,10780.2,NATO,Regional,Conventional,2317,62,No,11.12,No,Victory_B,8.045,-27.906,Temperate,None,No
Australia,India,Proxy War,1952,147,24743,21010,72072,254.91,-1.6,2138.4,Mountain,1249,1076.8,3043.9,21913.7,NATO,NATO,Cyber,4672,28,No,6.88,No,Stalemate,-1.709,51.66,Polar,Land,No
Israel,UK,Proxy War,1987,1509,9508,47582,62764,451.47,4.8,1658.5,Mountain,465.3,122.1,23421.4,9559.5,None,None,Conventional,3802,129,No,8.57,No,Stalemate,-10.141,111.317,Polar,Water,Yes
UK,UK,Skirmish,1983,599,23706,7241,124956,454.23,30.1,2263.6,Forest,1205,201.6,14436.5,7710.3,None,Regional,Cyber,2911,106,Yes,12.39,No,Victory_B,-5.29,67.011,Arid,None,No
France,Brazil,Civil War,1993,20,27703,46050,179838,262,6.6,115,Forest,1323.5,1257.6,2325.1,13931.6,None,NATO,Conventional,668,103,No,4.23,Yes,Stalemate,25.72,23.278,Temperate,Water,Yes
Brazil,France,Civil War,1979,1293,46558,16325,108772,304.03,22.6,81.3,Plains,908.5,1054.6,5523.9,12734.2,NATO,None,Conventional,1270,13,Yes,2.68,No,Stalemate,84.087,-46.219,Arid,Land,Yes
USA,Japan,Proxy War,1966,333,5169,34814,66754,498.26,-6.3,250,Urban,1080.2,512.3,18142.5,12957.3,NATO,None,Cyber,1734,11,Yes,18.89,Yes,Victory_B,67.559,150.668,Arid,Land,No
Germany,Turkey,Civil War,2008,1579,19723,21687,465,149.48,16.6,1312.7,Mountain,568.6,894.6,734.5,19905.3,Regional,NATO,Mixed,3814,23,Yes,4.74,Yes,Victory_A,67.523,-131.925,Polar,Oil,No
USA,Turkey,Proxy War,1959,907,44540,33059,76491,162.38,11.7,706.4,Forest,1333,640.7,18144.1,14719,NATO,NATO,Conventional,4019,27,No,9.9,Yes,Stalemate,36.608,138.211,Tropical,Water,Yes
China,Iran,Skirmish,1967,944,16991,49292,111786,91.47,34,2952.8,Urban,939.5,94.1,22787.5,22132.8,NATO,Regional,Conventional,4715,145,Yes,15.23,No,Victory_B,-86.834,75.546,Polar,Water,No
Turkey,Brazil,Proxy War,1994,911,7804,14275,70829,447.94,28.1,1626.9,Mountain,434.9,1009.9,1419,15481.2,Regional,NATO,Mixed,3857,100,No,11.12,Yes,Victory_A,-10.717,25.708,Polar,None,No
USA,China,Civil War,2008,401,28390,10151,88494,372.27,10.5,1987.2,Urban,566.6,1068.8,4668.6,552.3,Regional,NATO,Cyber,1899,133,Yes,12.7,No,Stalemate,2.003,-63.091,Polar,Water,Yes
Australia,Canada,Civil War,2011,950,27560,5992,104498,52.91,24.9,836.5,Desert,865.2,1235.4,69.4,21761.1,Regional,NATO,Cyber,2231,29,No,3.27,No,Victory_B,61.648,-127.424,Tropical,Water,No
UK,Ukraine,Proxy War,2008,1330,17609,3549,9938,490.89,-1.3,965.4,Mountain,328.6,757.4,2734.7,20996.2,None,None,Mixed,440,33,No,7.9,No,Stalemate,76.112,-20.462,Temperate,None,Yes
Canada,India,Proxy War,1998,28,17369,41195,176421,365.51,15.3,1006.4,Urban,1055.7,942.7,15428.6,1230.8,Regional,Regional,Cyber,580,185,Yes,13.8,Yes,Stalemate,-8.722,102.153,Polar,Oil,Yes
Turkey,Germany,Proxy War,2012,467,8075,38777,124840,425.28,-6.6,2096.2,Mountain,315.3,613.8,1130,3140.9,None,Regional,Nuclear,3321,155,Yes,4.2,Yes,Victory_B,-35.917,88.312,Polar,Water,Yes
Japan,Ukraine,Cold Conflict,1981,1284,44937,12493,58815,24.17,5.7,1421.1,Mountain,828.9,447.2,10651.6,13913.3,NATO,Regional,Conventional,375,199,Yes,9.67,No,Victory_A,-29.276,52.359,Temperate,None,No
Germany,China,Civil War,1959,1558,6665,29290,193836,252.53,0.2,1553.1,Desert,976.1,577,12590,1080.9,NATO,None,Cyber,3801,74,No,11.78,No,Victory_B,14.159,177.3,Temperate,Land,Yes
Australia,France,Civil War,1960,982,22567,34809,15985,349.33,22.4,1776,Urban,1203.8,1276.5,22666.7,10285.1,None,NATO,Mixed,1807,180,No,15.79,Yes,Victory_A,-40.505,170.149,Polar,Oil,No
Australia,Russia,Cold Conflict,2019,1911,4970,31633,73052,271.52,12.1,2306.4,Plains,1027.7,230.7,11862.5,24384.3,None,None,Conventional,728,15,No,4.33,No,Victory_B,73.933,-35.998,Tropical,None,No
USA,Israel,Proxy War,2011,101,19009,26241,80681,333.36,23.8,271.1,Forest,1118.6,348.7,3572.2,4327.7,None,Regional,Mixed,2437,153,No,19.56,No,Victory_B,-14.643,-110.688,Arid,Water,No
Israel,Russia,Skirmish,1996,551,9217,37089,1370,408.96,13.2,2330.6,Mountain,1278.2,849.1,7239.4,5160.3,NATO,NATO,Cyber,4275,192,Yes,19.35,Yes,Stalemate,88.212,-13.018,Arid,Oil,Yes
USA,Australia,Proxy War,1983,802,2038,24008,46082,187.23,-6.1,1689.7,Mountain,837.3,163.7,16808.2,16911.9,NATO,NATO,Mixed,2423,184,No,0.25,No,Victory_A,-70.287,124.048,Polar,Oil,Yes
China,China,Proxy War,1966,353,28490,39411,77813,424.35,23.1,2007.3,Mountain,1184.9,1248.7,2811.8,1109,Regional,Regional,Mixed,2891,158,Yes,7.36,No,Victory_A,-56.182,-14.917,Tropical,Oil,No
Japan,Australia,Cold Conflict,2003,1324,44422,32422,149029,81.54,27.5,982.7,Mountain,325.4,67.1,5801.3,20518.9,Regional,NATO,Conventional,2376,26,No,1.36,No,Victory_A,2.086,-59.046,Temperate,Land,Yes
Russia,Brazil,Civil War,1989,1706,36100,14112,38052,135.52,30.7,1228.2,Forest,1140.8,1057.7,24894.5,4983.8,NATO,None,Conventional,1968,111,No,6.34,No,Stalemate,66.295,86.843,Tropical,None,Yes
Turkey,Germany,Proxy War,1968,296,20228,34989,175960,21.77,15.7,693.5,Plains,311.1,523.8,148.3,13293.5,Regional,Regional,Cyber,2247,48,Yes,12.14,No,Victory_B,-26.288,54.049,Arid,Oil,Yes
USA,USA,Civil War,2016,353,31881,17512,38962,182.28,23.9,2937.9,Desert,1308.5,72.6,3813.1,6226.6,Regional,None,Mixed,2743,136,Yes,12.17,No,Stalemate,60.744,168.731,Tropical,Water,Yes
UK,Ukraine,War,2002,908,3565,30714,602,190.02,23.8,1491,Plains,462.6,1180.3,21093.7,16475.5,None,NATO,Mixed,2856,25,No,1.93,No,Victory_B,-13.419,17.734,Polar,Water,No
France,USA,Civil War,2013,1154,540,44594,20190,402.65,-3,2988.2,Forest,241.4,897,2543.5,14684.5,NATO,Regional,Cyber,1759,5,No,13.54,Yes,Victory_B,63.539,168.29,Tropical,Water,Yes
Germany,France,Skirmish,1996,1019,49713,24757,85641,326.6,-2.6,1469.4,Urban,208.3,13.4,850.7,23661.5,None,NATO,Mixed,1912,134,Yes,16.93,Yes,Victory_B,-40.062,-75.263,Arid,Oil,Yes
Ukraine,Brazil,Skirmish,1955,1180,5513,5756,179859,218.42,-6.8,659.3,Desert,263,375.3,3041.6,11145.6,NATO,Regional,Mixed,3672,12,No,12.62,No,Victory_B,-5.059,131.337,Polar,Water,Yes
USA,UK,Proxy War,1965,1098,11763,9067,33417,326.09,4.4,1522.4,Desert,627.1,493.5,17343,21873.2,NATO,Regional,Mixed,3808,176,No,6.2,Yes,Victory_B,-39.828,-53.667,Polar,Oil,No
UK,Ukraine,Civil War,2021,1366,38623,19522,24111,26.49,11.3,118.8,Urban,731.5,452.3,24827.8,14399.8,None,Regional,Mixed,1982,9,Yes,0.05,No,Stalemate,-51.26,111.483,Tropical,None,No
Turkey,Australia,Proxy War,1967,1489,37880,15864,96640,90.22,34.9,2714.3,Mountain,1279.4,698.2,14770,22862.4,NATO,Regional,Nuclear,2677,42,Yes,12.97,No,Victory_A,-14.194,153.355,Polar,Oil,Yes
UK,UK,Cold Conflict,2001,1114,19647,15973,42174,313.51,9.4,2455.7,Forest,534,738,3116.7,7302.6,None,Regional,Cyber,1694,109,Yes,13.56,Yes,Victory_B,-29.753,44.349,Tropical,Oil,Yes
Germany,India,Skirmish,1997,1603,16226,29049,176760,320.72,22.7,2177.5,Urban,305.3,556.1,4602.6,13748.5,None,NATO,Cyber,4531,176,No,14.17,Yes,Stalemate,51.686,82.278,Tropical,None,No
Russia,Iran,Proxy War,1992,455,39620,43947,133104,387.09,21.2,1829.5,Plains,1041.6,465.1,13446.7,9756.8,NATO,Regional,Mixed,1737,111,Yes,0.79,No,Stalemate,44.575,165.11,Temperate,Water,No
UK,Germany,Cold Conflict,1988,1772,105,2371,116372,201.56,-0.8,1739.5,Plains,189.4,706.7,17894.3,1656.8,NATO,None,Cyber,45,100,Yes,10.33,Yes,Stalemate,-25.46,-44.944,Arid,Oil,No
France,Iran,Proxy War,1998,712,37644,1707,106184,361.3,-7.4,2990.2,Urban,1249.3,48,16576.2,14360.9,None,Regional,Nuclear,1941,17,Yes,8.27,Yes,Stalemate,88.609,4.17,Temperate,None,No
UK,Germany,Civil War,1961,980,7138,19623,35815,342.02,14.6,834,Forest,573.8,903.6,14372.4,19857.8,Regional,None,Mixed,4339,10,No,15.35,Yes,Stalemate,85.291,143.385,Arid,Land,Yes
UK,Russia,Civil War,1959,1356,6514,48547,82656,481.7,21.5,2339.1,Desert,859.8,848.8,24656.9,13909.5,Regional,NATO,Conventional,155,9,Yes,14.45,No,Victory_B,75.21,62.214,Arid,None,Yes
UK,Japan,Civil War,2020,739,22223,49857,96472,107.64,34.9,1744.2,Desert,261.5,391.6,4958.9,6990.8,NATO,Regional,Nuclear,3465,155,No,19.01,No,Victory_A,15.571,134.493,Polar,Land,No
Canada,Ukraine,Civil War,2004,977,4070,28090,109960,275.88,6.1,2927.6,Mountain,204.6,252.1,4330.9,6603.1,NATO,Regional,Conventional,961,52,No,17.95,Yes,Victory_B,-15.784,42.572,Arid,None,Yes
Canada,Australia,War,1950,1372,11150,3765,54731,300.92,30.3,2483.4,Forest,1118.6,103.1,21477.9,5953.6,Regional,None,Cyber,944,53,Yes,11.16,No,Victory_B,-33.656,86.304,Tropical,Oil,No
Russia,Iran,Cold Conflict,1998,233,2706,16408,194354,499.32,7.2,2995.6,Plains,602.2,822.7,7277.6,24491,NATO,Regional,Cyber,1278,152,No,19.61,No,Victory_A,-87.294,-175.298,Temperate,Water,No
USA,France,Cold Conflict,1985,1802,16582,5952,62399,100.67,21,1765,Plains,1381.5,796.9,8319.8,9986.5,NATO,NATO,Cyber,1385,5,Yes,3,Yes,Victory_B,23.725,-57.718,Polar,Oil,Yes
UK,USA,Civil War,1970,1622,33393,5562,100113,261.66,16.9,613.6,Mountain,734.5,747.1,13721.2,7928.6,Regional,NATO,Mixed,4054,105,No,0.14,No,Victory_A,9.569,97.351,Polar,Oil,No
Iran,Turkey,War,1986,1024,6437,31895,63524,173.16,-7.6,1511.1,Plains,1184.1,1379.9,9538.1,10467.5,NATO,Regional,Nuclear,3919,138,Yes,2.16,Yes,Victory_B,23.377,-34.557,Arid,Land,Yes
Japan,Israel,Civil War,1973,102,34048,4370,160635,262.99,-6.5,2133.3,Mountain,1372,744.6,7198.1,2903.8,Regional,None,Nuclear,1736,32,No,7.1,Yes,Victory_A,13.672,-49.375,Temperate,Water,Yes
Iran,France,War,2004,953,24551,48565,22642,116.14,-9.1,2323.1,Mountain,394.3,1010.8,22930.2,4908.5,Regional,NATO,Mixed,2866,68,No,15.11,Yes,Stalemate,-65.211,162.559,Temperate,Water,Yes
USA,UK,Civil War,1974,481,26365,24591,112246,23.9,6.7,1.5,Urban,1121.4,159,3240.6,12727.5,Regional,Regional,Mixed,2424,95,No,7.66,No,Victory_A,35.168,18.917,Temperate,Oil,Yes
Russia,UK,Skirmish,1956,1238,25814,36330,23668,286.33,23.6,1515.1,Desert,31.8,419.3,10113.2,19973.2,NATO,None,Cyber,4248,173,Yes,15.61,No,Victory_B,-25.122,-110.703,Polar,None,Yes
Israel,Iran,Skirmish,2020,108,20975,48342,51682,167.99,-2.2,705.7,Forest,952,386.3,84.1,21911.9,None,None,Nuclear,3838,87,Yes,14.86,No,Victory_B,2.933,-9.998,Temperate,None,No
Israel,Israel,Proxy War,2020,1189,13157,447,146531,91.05,17.3,2624.7,Forest,1043.5,806.8,20188.3,21651,None,NATO,Cyber,2819,54,No,15.89,No,Victory_A,-24.182,6.722,Tropical,Water,Yes
India,China,Civil War,1973,973,32500,49252,9579,162.04,3,458.7,Desert,668.8,463.8,4218.8,23619.3,None,Regional,Nuclear,3223,197,Yes,3.75,No,Stalemate,-86.04,175.943,Tropical,Oil,No
Iran,India,Cold Conflict,1960,1627,6022,32930,122214,24.74,25.9,1999.4,Forest,227.8,897.9,19327,3153,NATO,NATO,Mixed,2650,50,No,10.32,Yes,Victory_B,67.78,78.559,Arid,Oil,Yes
USA,Ukraine,Proxy War,2022,704,3171,1883,24204,475.23,25.9,798.2,Plains,863.8,966.4,3723.6,1033.8,NATO,None,Cyber,239,24,Yes,14.25,Yes,Stalemate,-63.228,6.985,Arid,Land,Yes
USA,Germany,Skirmish,1961,335,22125,28490,32932,290.62,24.9,1069.6,Plains,1256.6,48.1,10424.3,2652.2,NATO,NATO,Nuclear,3254,104,Yes,5.68,No,Victory_A,14.791,-24.483,Tropical,Water,No
Brazil,Canada,Civil War,1984,86,27603,8517,44967,407.4,13.6,2821.7,Forest,1303.9,896,18207.3,15022.5,NATO,Regional,Mixed,4526,22,No,16.76,No,Victory_A,68.964,149.578,Arid,None,Yes
China,Turkey,Proxy War,2012,734,23865,6666,82538,211.62,2.8,721.3,Urban,1044.8,164.4,6777.5,13907.4,None,NATO,Conventional,499,177,Yes,15.59,No,Victory_A,-50.161,52.539,Polar,None,Yes
Ukraine,Australia,Civil War,2017,875,35660,17526,15751,451.67,26.4,285,Forest,369.9,651.7,7854.8,16783.5,Regional,None,Cyber,3869,45,Yes,2.4,Yes,Stalemate,-15.837,-51.809,Tropical,Water,Yes
Turkey,France,Skirmish,2006,1448,46712,30850,68275,241.71,-1.6,207.9,Mountain,1218.6,1017.5,16686.4,9283.6,NATO,NATO,Nuclear,4392,171,No,4.36,No,Stalemate,-22.008,-12.733,Polar,Land,No
Brazil,Australia,Proxy War,1962,1637,32882,10972,119328,287.02,3,1513.8,Mountain,1244.5,985,4700.6,9795.8,NATO,None,Nuclear,2230,140,No,4.75,No,Victory_A,-73.94,-79.875,Temperate,None,Yes
